just checked my user timeline on my	user-timeline
just called verizon...no twitter available on my phone.   it's gotta be a blackberry (intentional rhyming)	verizon.no-twitter intentional-rhyming
@zombiecommand no blackberry love?  http://myloc.me/2bxt	blackberry-love
@katbron  blackberry storm: k and b said &quot;did you tell her to wait for the new one that is coming out?&quot; i said no	@katbron-storm blackberry-storm new-one
i don't know i just posted from my blackberry online and it came up yikes sorry everyone! i will only post from texts now for sure	sorry-everyone yikes-sorry
holy shit my dad bought himself a blackberry.  ...........i'm still wiating for my ipod touch  -taps feet-	holy-shit ipod-touch
@twtrcon i have a blackberry and g1.  @peoplebrowser #twtrcon	@twtrcon-i @peoplebrowser-#twtrcon
i want a twitter app for my blackberry but i can't figure out how to	twitter-app
i wish i had the data plan on my blackberry curve	data-plan blackberry-curve
erm.....blackberry bold is broken   super bad times	super-times bad-times
@kimbigevil i deleted &amp; banned the enemy godviagra from the forum. i am at my parents' house on an old windows pc. i forgot my blackberry	@kimbigevil-deleted i-deleted enemy-godviagra i-am old-pc windows-pc
@taylerc  what happened to my pretty blackberry??	pretty-blackberry
i want the blackberry 8900 soo bad!	bad-blackberry
goshhh! i want a blackberry	goshhh-i
how do you fix the scroll ball on a blackberry? i can't use my phone right now	scroll-ball phone-right
ugh!  i must take a twitter break. the blackberry is dying	twitter-break
@jennaglynn blackberry messenger is awesome!  i only wish i had more friends with blackberrys	@jennaglynn-messenger blackberry-messenger only-wish friends-more
@bananafacexo oh. i have the ev2 it has  a keyboard but it  flips open not slide  im hopin to get a blackberry storm or.. *its u&amp;me 4eva*	im-hopin blackberry-storm 4eva-u
i has a blackberry - yay! i had a migraine  boo.	yay-i migraine-boo
i has a blackberry - yay! i has a migraine  boo.	yay-i migraine-boo
ahh found out how much a blackberry would cost..plus the monthly rate..too much money.  wanted to show pics and tweet in chicago. bummer	monthly-money rate.too-money much-money chicago-bummer
just ordered this touchscreen phone from lg! the &quot;cookie&quot;. http://tinyurl.com/cn7to3 my blackberry was broken by a girl at school...	touchscreen-phone
haha no more blackberry  but	blackberry-more
i seriously need to hurry up and get a blackberry an get in wid da movement! damn i feel sooo alone in twitte-land	wid-movement da-movement damn-sooo i-sooo feel-sooo
@alsharptongue i said how is it messin up ur blackberry? and u said yes...so now i'm confused b/c it wasn't a yes/no question	ur-blackberry yes/no-question
ughhh still so much stuff to move and no where to put it  i would post a picture of my room but i dnt no how to lol... freakin blackberry	much-stuff
my phone is dead. blackberry storm os update failed	os-update
@kittifontain  u have a blackberry? dm me ur info. annnnd be over the niggas	@kittifontain-u dm-info ur-info
new blackberry is here and its lovely and not at all soggy. shame the trackball is buggered! another one will be here tomorrow	new-blackberry
i want my cell phone back  its still broken... but  at my birthday im going to buy a new one  this time i think it will be a blackberry	cell-phone still-im broken-im new-one
back home and off to work.  booooo!!! sans blackberry.  *sigh. replacing my license today	sans-blackberry *-sigh
just installed the new blackberry software onto my phone and it suvks the color is horrible	new-software blackberry-software
@misskibbles humm blackberry sounds pretty good. i will have to try that.  i love cabernet	love-cabernet
my blackberry is probably gonna die soon  dunno where the heck my charger is.i know its in a box somewhere lol	charger-is.i
i have scratches all over my blackberry storm !  xx	blackberry-storm
@dezidez im doin ok.real sleepy.hatin my blackberry it always resets itself  bout 2 go 2 the boutique n a bit	@dezidez-ok.real im-ok.real doin-ok.real boutique-n
weird stuff happening with my ubertwitters  just swapped out my	weird-stuff
waaahhhh my blackberry battery died and i don't have my charger here at work	blackberry-battery
trying to get my blackberry email up and running. there's something wrong with it	blackberry-email wrong-something
bye bye blackberry rip	bye-rip bye-rip blackberry-rip
@ryanstar it really sucks not having a real internet connex as blackberry keeps crashing because twitterberry is evil	real-connex internet-connex
my blackberry is being lame. no twitpics  i just finished lunch now off to see my lady suzy.	twitpics-i
@eliz_castro can't remember - is it a blackberry curve?  my tmobile curve is dying.    undecided abt whether 2 replace w/high or low tech.	tmobile-curve w/high-tech
staying home and keeping an eye on sick sis  but i did just buy the new blackberry curve 8900 online.. thanx scott!	sick-sis new-curve blackberry-curve online-scott thanx-scott
kickin ass in poker!!! too bad it's only on my blackberry	kickin-ass bad-poker
palringo now available in blackberry app world ...not that australians can access it  http://viigo.im/kvp	available-palringo app-world
@evzzz drowned in steele reserve  new one delivered tomorrow thank g...dying without the blackberry	steele-one reserve-one new-one
not fully used to my new blackberry.	new-blackberry
is this really happening? &lt;3 u blackberry. miss u iphone	u-blackberry u-iphone
i hate my blackberry i lost everyones bbms. and then what? omg.	everyones-bbms
the nicest way... into blackberry land. i miss my pretty iphone alreayd.	blackberry-land iphone-alreayd
ugh... twitter withdrawls. internet not working on blackberry for some strange reason	twitter-withdrawls strange-reason
@mrjrgregory cider was amazing - blackberry still broken	@mrjrgregory-cider
uh oh.. blackberry internet service is acting up	blackberry-service internet-service
@ginnielizz  thanks!  the blackberry app isn't as good   i think i'll sign in/ sign out for now.	blackberry-app
great. blackberryos 4.5 software is on my phone. bb rebooted. has been at a white screen with the hourglass spinning for 10 minutes now.	bb-rebooted white-screen
gaaarrrr where is my blackberry charger???	blackberry-charger
@iamjonathancook awwh. im gonn miss blackberry bold.	@iamjonathancook-gonn awwh-gonn im-gonn
@iamjonathancook bye blackberry  jonathan is going to miss you  byebye	@iamjonathancook-jonathan bye-jonathan blackberry-jonathan
@tonyg2388 i'd die without my blackberry too	@tonyg2388-i
@alyssa_f read it on my blackberry babe. i understand your pain  sure there isnt some way you can make it to one of the shows?	blackberry-babe
watching jon and kate plus 8...i need some help tryna upload a pic on here 4rm my blackberry it won't work	help-tryna
signs i spend too much time on the computer: i just pressed alt+t to try to open a new tab on my blackberry's browser	much-time alt-+ new-tab
testing out a new twitter app for my blackberry. sorry to spam your feed.	new-twitter
testing out a new twitter app for my blackberry. sorry to spam your feed.	new-twitter
trying out a new twitter app for my blackberry. sorry to spam your feed.	new-twitter
ugh my blackberry won't let me click any buttons so i can't even log onto twitter from it  bust	twitter-bust
bets ned the pie man makes a scrumptious blackberry pie.  wish i could go to the pie hole and get me a slice	pie-man pie-hole
@ravenalexis is your ringer on silence? my blackberry is an ass and not giving me text messages today	text-messages
@lilnard3 bet you wont tune into stickam.com/msjatv lol i broke my blackberry new one on deck tomorrow tho	wont-tune stickam.com/msjatv-lol blackberry-one new-one deck-tho tomorrow-tho
my blackberry isnt charging!  poor baby might be broken d:	poor-baby
i'm so jealuos....my sister got the blackberry curve i wanted	blackberry-i curve-i
i'm so jealous...my sister got the blackberry curve i wanted	blackberry-i curve-i
dropped my blackberry in water! cant text or call &amp;&amp; or even pick up calls or make calls...	cant-text
@keryje about 2 mins #blackberrystorm camera is amazingly slow  miss you too babes	#blackberrystorm-camera
can't find my blackberry charger. switched to my broken g1 for the time being. blaaaah i miss thing	broken-g1 time-being i-thing miss-thing
need some #blackberry maintenance help - woke up and my track ball goes up	#blackberry-help maintenance-help track-ball
my work blackberry just locked itself	work-blackberry
@blackberrytwit ... bit but that's been about it!  can't shift this sickness - not good!!!	@blackberrytwit-bit good-sickness
@tiffanywi doh...  maybe the blackberry gods will see your trouble and send forth help..	@tiffanywi-doh blackberry-gods
my blackberry has a hairline fracture in the screen	hairline-fracture
how can i get 2 my dm's from my blackberry? is that not an option?? i dont see it	option-dont i-dont
so somehow my phone charger is lost and now my phone is dead  does anyone have a charger for a blackberry that i could borrow?!	phone-charger
epic blackberry fail...so ticked! want a new one	epic-ticked blackberry-ticked fail.so-ticked new-one
just wondering if anyone knows who i can put a shortcut to twitter on my blackberry curve.  and i am still sick over the race on sunday	blackberry-curve
twitterberry is going bye bye on the 8th on my phone. no more blackberry	blackberry-more
@anniepants @ruthfox @veganchai i'm such a devoted blackberry fan! i feel like i'm being adulterous...	@anniepants-@veganchai @ruthfox-@veganchai devoted-fan blackberry-fan
cravings for new gadgets so badly!! esp for blackberry  i want i want i want!!	new-gadgets blackberry-i
my blackberry scrolly ball thing isn't letting me scroll up. well this sux. i have new messages	blackberry-thing scrolly-thing ball-thing new-messages
grrrrrr blackberry is stuck on gsm network.. means only phone will work	grrrrrr-blackberry gsm-network
chatting on my blackberry its so much fun!! can't seem to upload my photo though......dunno howwww!!!	much-fun photo-howwww though.dunno-howwww
@willsmith next iphone coming out in a lil over a month and you buy a blackberry?! i didn't expect this level of fail from you	@willsmith-iphone next-iphone lil-i
so heartbroken about the loss of raspberry ny blackberry i cant sleep with out her next to me l  looks like i got a date with t mobile	raspberry-sleep ny-sleep blackberry-sleep i-sleep cant-sleep mobile-t
@mim001 @amykate oh no! poor you. hope you get to break for tea soon. i'd send it via blackberry if i could	@mim001-@amykate poor-you
@themogulmom must be in the air! my blackberry lost all it's info yesterday! (thank god it backed itself on my laptop) good luck	good-luck
i forgot the charger for my blackberry at home   let's see how long i can make a half-charged battery last.	half-charged-battery
anyone got an extended blackberry bold battery? are they any good? battery's gone from 95% to 55% in just 2 hours	extended-blackberry 95-% 55-%
@parisrouzati not now that i have a blackberry storm. its way too slow when you hang up and and call back  i tried yesterday lol	blackberry-storm slow-way yesterday-lol
i want a new cell phone  i dont want my blackberry curve 8900 anymore. i want the blackberry bold	new-dont cell-dont phone-dont i-dont blackberry-curve 8900-i anymore-i
:  in other news the blackberry is on the fritz...    free upgrade?  you best believe i will try...	other-news free-upgrade
what kind of phone does everyone use and are happy with? i'm bored with my blackberry 8900  i have tmobile	everyone-use blackberry-i
@homebasenyc holmes. what does it do? hit my dm with ure info. can't get my info from my old blackberry	ure-info old-blackberry
@youmail is there a reason my @blackberry 8820 on @tmobile_usa is not likeing the youmail app? i've tried reinstalling it many times	app-i many-times
twitpic from blackberry no work	work-no
stupid bloody blackberry!!!! wish i had an iphone instead!!!	stupid-blackberry bloody-blackberry
i can't tweet from my blackberry because i didn't pay my phone bill on time.. what's a blackberry that only makes phone calls and texts?	phone-bill phone-calls
argh the roller ball fell off my blackberry	roller-ball
downloading new apps for my	new-apps
been awhile since i've tweeted.. going to st.louis to exchange my iphone this weekend. 3rd one! considering a switch to blackberry.	3rd-one
@mummertre ...your dumb. and i hate you. and its not just blackberrys because i have the updates to come as textmessages. fuck you	just-blackberrys
wish i would have never gotten rid of my blackberry :/ i miss havin a smart phone  even though it was stupid most of the time &amp; i hated it	/-i smart-phone i-hated
damn at &amp; t and their data network problems -  cant log with my blackberry	data-problems network-problems cant-log
i wished my blackberry was twitter compatible. i would tweet all my tasting experiences from the wineries this weekend.	tasting-experiences
i want a blackberry... tomorrow library day... again	tomorrow-day library-day
@lisanicolec i think i hate you a little bit because you're posting from a blackberry.	@lisanicolec-i little-bit
tweeting from blackberry cos internet is down.	blackberry-internet cos-internet
my dad just bought someone a blackberry curve! i wish i had a friend's dad like that	blackberry-curve i-i wish-i
@nerdyboytko lmao. on my blackberry no?!  lol.	@nerdyboytko-lmao
i might have 2 switch my blackberry 4 a new phone. my tracker ball keeps sticking &amp; its getting annoying	new-phone tracker-ball
@cmarie7 dudee ii thiink ii want a blackberry now	@cmarie7-ii dudee-ii ii-ii thiink-ii
i got this blackberry and cannt respond to my folks on twitter.. help.. ughh	folks-ughh
@cocobananas89 haven't he3d anything other than rd singles. i decided 2 put my laptop in da shop &amp; my blackberry has no flash player	other-anything rd-i singles-i da-shop flash-player
